WBS,タスク名,担当者,日数,開始日（YYYY-MM-DD）,終了日（YYYY-MM-DD）
1.2,施工スケジュール,,,,
1.2.1,ご契約,,1,2026-05-28,
1.2.1.1,打合せ1,,1,2026-05-28,
1.2.1.2,B工事打合せ,,10,2026-06-01,
1.2.1.3,打合せ2,,1,2026-06-09,
1.2.1.4,墨出確認,,2,2026-06-22,
1.2.1.5,打合せ4,,1,2026-07-09,
1.2.5,中間チェック,,1,2026-07-27,
1.2.2,設計,Cronoba,29,2026-05-25,
1.2.2.1,図面作成,Cronoba,29,2026-05-25,
1.2.3,軽量鉄骨工事,Cronoba,,2026-05-30,
1.2.3.1,材料発注,Cronoba,1,2026-05-30,
1.2.3.2,LGS下地（夜間）,Cronoba,4,2026-07-08,
1.2.3.3,ボード貼り,Cronoba,5,2026-07-22,
1.2.4,木工事,Cronoba,,2026-05-30,
1.2.4.1,木工事材料発注,Cronoba,1,2026-05-29,
1.2.4.2,床上げ,Cronoba,5,2026-06-03,
1.2.4.3,木工事　雑工事,Cronoba,3,2026-08-25,
1.2.5,仮設工事,Cronoba,,2026-06-18,
1.2.5.1,墨出,Cronoba,2,2026-06-18,
1.2.5.2,打合　墨出確認,Cronoba,2,2026-06-22,
1.2.5.3,是正工事,Cronoba,4,2026-08-25,
1.2.6,給排水設備工事,Cronoba,,2026-06-24,
1.2.6.1,配管,Cronoba,3,2026-06-29,
1.2.6.2,給排水器具取付,Cronoba,3,2026-08-18,
1.2.7,電気設備工事,Cronoba,,2026-06-29,
1.2.7.1,配線・先行,Cronoba,4,2026-06-29,
1.2.7.2,配線・天井・壁,Cronoba,4,2026-07-16,
1.2.7.3,照明器具付け,Cronoba,2,2026-08-06,
1.2.7.4,器具付け,Cronoba,2,2026-08-20,
1.2.8,換気・給気工事,Cronoba,,2026-07-01,
1.2.8.1,ダクト,Cronoba,3,2026-08-01,
1.2.9,塗装工事,Cronoba,,2026-07-30,
1.2.9.1,パテ,Cronoba,3,2026-07-29,
1.2.9.2,夜間乾燥,Cronoba,4,2026-08-03,
1.2.10,タイル工事,Cronoba,,2026-07-31,
1.2.10.1,タイル貼り,Cronoba,7,2026-07-29,
1.2.11,左官工事,Cronoba,,2026-07-29,
1.2.11.1,左官,Cronoba,5,2026-07-29,
1.2.12,床仕上工事,Cronoba,,2026-08-06,
1.2.12.1,床工事,Cronoba,5,2026-08-06,
1.2.13,サッシ工事,Cronoba,,2026-07-21,
1.2.13.1,サッシ設置,Cronoba,3,2026-07-21,
1.2.15,ガラス,Cronoba,,2026-08-19,
1.2.15.1,ガラス,Cronoba,1,2026-08-20,
1.2.14,木製建具工事,Cronoba,,2026-08-19,
1.2.14.1,建具吊仕込,Cronoba,1,2026-08-19,
1.2.15,金物工事,Cronoba,,2026-06-29,
1.2.15.1,排水受け金具,Cronoba,1,2026-06-29,
1.2.15.2,床金物,Cronoba,1,2026-08-18,
1.2.16,造作家具工事,Cronoba,,2026-08-05,
1.2.16.1,搬入,Cronoba,1,2026-08-05,
1.2.17,サイン工事,Cronoba,,2026-08-21,
1.2.17.1,サイン取付,Cronoba,1,2026-08-21,
1.2.18,クリーニング,Cronoba,,2026-08-24,
1.2.18.1,クリーニング,Cronoba,1,2026-08-24,
1.2.19,キッチン関係 搬入,,,2026-08-19,
1.2.19.1,搬入,,2,2026-08-19,
1.2.20,既製家具 搬入,,,2026-09-01,
1.2.20.1,既製家具 搬入,,1,2026-09-01,
1.2.21,ネット関係,,,2026-09-02,
1.2.22,お引渡し,,,2026-09-01,
